ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002230.SZ,20240704,42.17,42.32,41.11,41.11,42.06,-0.95,-2.2587,268953.5,1119274.858
002230.SZ,20240705,41.1,41.37,40.2,41.2,41.01,0.19,0.4633,232522.23,949364.092
002230.SZ,20240708,40.41,40.41,38.38,38.7,41.2,-2.5,-6.068,481495.03,1878697.889
002230.SZ,20240709,38.69,39.1,37.9,39.0,38.7,0.3,0.7752,399023.45,1541676.079
002230.SZ,20240710,38.94,39.63,38.63,38.86,39.0,-0.14,-0.359,256942.68,1006234.46
002230.SZ,20240711,39.5,39.62,39.08,39.25,38.86,0.39,1.0036,266676.86,1048726.611
002230.SZ,20240712,39.07,39.23,38.62,38.66,39.25,-0.59,-1.5032,242519.04,941637.921
002230.SZ,20240715,38.62,38.62,37.9,38.13,38.66,-0.53,-1.3709,210184.22,802398.432
002230.SZ,20240716,38.13,39.2,37.9,39.01,38.13,0.88,2.3079,296073.7,1146196.747
002230.SZ,20240717,39.02,39.6,38.86,38.92,39.01,-0.09,-0.2307,231747.06,906726.163
002230.SZ,20240718,38.49,38.7,37.7,38.69,38.92,-0.23,-0.591,290126.81,1107927.015
002230.SZ,20240719,38.32,39.5,38.28,39.3,38.69,0.61,1.5766,286571.84,1122935.318
002230.SZ,20240722,39.3,40.18,39.3,39.64,39.3,0.34,0.8651,297808.69,1184481.262
002230.SZ,20240723,39.5,39.51,38.58,38.58,39.64,-1.06,-2.6741,210049.48,821038.118
002230.SZ,20240724,38.53,39.08,38.18,38.34,38.58,-0.24,-0.6221,192483.8,743298.128
002230.SZ,20240725,38.2,38.71,38.01,38.42,38.34,0.08,0.2087,154637.46,594035.953
002230.SZ,20240726,38.47,38.81,38.23,38.66,38.42,0.24,0.6247,149649.54,576447.432
002230.SZ,20240729,38.7,38.86,38.41,38.61,38.66,-0.05,-0.1293,114707.2,443251.495
002230.SZ,20240730,38.61,38.79,38.21,38.76,38.61,0.15,0.3885,133900.21,515505.362
002230.SZ,20240731,38.69,39.82,38.57,39.72,38.76,0.96,2.4768,281583.4,1111355.253
002230.SZ,20240801,39.73,39.88,39.22,39.26,39.72,-0.46,-1.1581,205448.43,810990.833
002230.SZ,20240802,38.98,39.49,38.75,38.87,39.26,-0.39,-0.9934,157247.77,613826.144
002230.SZ,20240805,38.4,39.12,37.88,37.9,38.87,-0.97,-2.4955,241014.01,924062.575
002230.SZ,20240806,38.17,38.34,35.2,36.42,37.9,-1.48,-3.905,508689.23,1850530.614
002230.SZ,20240807,36.43,36.85,36.2,36.46,36.42,0.04,0.1098,218567.53,798025.323
002230.SZ,20240808,36.11,36.42,35.54,36.15,36.46,-0.31,-0.8502,197056.17,708703.937
002230.SZ,20240809,36.3,36.55,35.86,35.9,36.15,-0.25,-0.6916,131997.24,476915.204
002230.SZ,20240812,35.88,35.89,33.8,34.71,35.9,-1.19,-3.3148,331423.21,1154457.791
002230.SZ,20240813,34.8,35.09,34.5,34.92,34.71,0.21,0.605,166093.87,577006.706
002230.SZ,20240814,34.92,35.0,34.51,34.67,34.92,-0.25,-0.7159,131889.21,458029.118
002230.SZ,20240815,34.6,35.24,34.23,34.68,34.67,0.01,0.0288,213281.23,741380.014
002230.SZ,20240816,34.67,34.85,34.41,34.46,34.68,-0.22,-0.6344,134645.35,465800.731
002230.SZ,20240819,34.45,34.74,34.37,34.51,34.46,0.05,0.1451,146214.61,505417.292
002230.SZ,20240820,34.52,34.64,33.77,34.02,34.51,-0.49,-1.4199,170916.54,582122.637
002230.SZ,20240821,33.97,34.69,33.5,34.0,34.02,-0.02,-0.0588,170425.19,582822.376
002230.SZ,20240822,34.05,34.49,33.04,33.08,34.0,-0.92,-2.7059,247294.53,829677.239
002230.SZ,20240823,33.0,34.05,32.95,33.93,33.08,0.85,2.5695,250523.67,843483.507
002230.SZ,20240826,33.94,34.33,33.81,34.0,33.93,0.07,0.2063,144815.35,492683.559
002230.SZ,20240827,33.91,33.94,33.2,33.33,34.0,-0.67,-1.9706,148148.38,495164.434
002230.SZ,20240828,33.29,33.5,32.66,33.32,33.33,-0.01,-0.03,154253.33,510333.309
002230.SZ,20240829,33.05,33.92,32.99,33.59,33.32,0.27,0.8103,166259.88,558439.385
002230.SZ,20240830,33.58,34.75,33.51,34.39,33.59,0.8,2.3817,284093.23,978243.498
002230.SZ,20240902,34.5,34.53,33.39,33.39,34.39,-1.0,-2.9078,200656.96,678010.655
002230.SZ,20240903,33.4,34.28,33.31,34.09,33.39,0.7,2.0964,204155.7,692972.145
002230.SZ,20240904,33.73,34.12,33.68,33.88,34.09,-0.21,-0.616,116883.44,396415.615
002230.SZ,20240905,33.89,34.45,33.81,34.25,33.88,0.37,1.0921,143465.18,490117.796
002230.SZ,20240906,34.35,34.76,33.89,34.0,34.25,-0.25,-0.7299,194245.74,667682.294
002230.SZ,20240909,33.9,34.25,33.5,33.66,34.0,-0.34,-1.0,132687.07,448339.328
002230.SZ,20240910,33.68,34.43,33.26,34.16,33.66,0.5,1.4854,167482.92,566933.119
002230.SZ,20240911,34.13,34.5,33.96,34.34,34.16,0.18,0.5269,149483.15,512893.609
002230.SZ,20240912,34.48,34.85,34.08,34.08,34.34,-0.26,-0.7571,142551.51,491054.536
002230.SZ,20240913,34.2,34.4,33.8,33.82,34.08,-0.26,-0.7629,130730.8,445507.614
002230.SZ,20240918,33.83,33.95,33.41,33.84,33.82,0.02,0.0591,110518.61,371853.924
002230.SZ,20240919,34.0,34.77,33.61,34.58,33.84,0.74,2.1868,251354.61,864006.381
002230.SZ,20240920,34.59,34.78,34.37,34.69,34.58,0.11,0.3181,183525.44,634556.172
002230.SZ,20240923,34.69,35.38,34.63,34.81,34.69,0.12,0.3459,201317.48,704323.145
002230.SZ,20240924,34.92,35.85,34.35,35.85,34.81,1.04,2.9876,379543.28,1339333.538
002230.SZ,20240925,36.12,37.46,36.12,36.38,35.85,0.53,1.4784,480585.28,1769655.937
002230.SZ,20240926,36.38,37.57,36.18,37.57,36.38,1.19,3.271,380436.38,1406537.751
002230.SZ,20240927,38.25,41.0,38.25,40.4,37.57,2.83,7.5326,743786.54,2950486.696
002230.SZ,20240930,42.38,44.44,42.26,44.44,40.4,4.04,10.0,1105597.72,4828743.059
002230.SZ,20241008,48.88,48.88,46.0,48.88,44.44,4.44,9.991,1378135.83,6678014.044
002230.SZ,20241009,48.88,50.14,46.07,46.97,48.88,-1.91,-3.9075,1443007.02,6942143.623
002230.SZ,20241010,46.97,47.7,43.91,44.74,46.97,-2.23,-4.7477,947111.1,4293400.007
002230.SZ,20241011,44.38,44.49,42.38,42.91,44.74,-1.83,-4.0903,594851.59,2568282.971
002230.SZ,20241014,42.91,43.66,42.14,43.65,42.91,0.74,1.7245,537324.97,2313967.454
002230.SZ,20241015,43.6,44.75,43.01,43.05,43.65,-0.6,-1.3746,542865.63,2385162.817
002230.SZ,20241016,42.24,43.56,42.06,43.0,43.05,-0.05,-0.1161,329357.71,1412525.057
002230.SZ,20241017,43.3,45.64,43.1,44.4,43.0,1.4,3.2558,798486.42,3534829.72
002230.SZ,20241018,44.01,47.51,43.05,45.83,44.4,1.43,3.2207,1128782.22,5100644.027
002230.SZ,20241021,46.22,47.0,45.83,46.18,45.83,0.35,0.7637,956263.5,4441628.408
002230.SZ,20241022,46.0,46.3,45.12,45.55,46.18,-0.63,-1.3642,553429.74,2516923.851
002230.SZ,20241023,45.5,46.0,45.14,45.58,45.55,0.03,0.0659,451499.11,2059996.997
002230.SZ,20241024,45.61,45.75,44.78,44.81,45.58,-0.77,-1.6893,376813.2,1697958.587
002230.SZ,20241025,45.45,45.81,45.17,45.48,44.81,0.67,1.4952,410538.88,1866511.889
002230.SZ,20241028,45.75,46.1,45.4,45.65,45.48,0.17,0.3738,398447.56,1821071.795
002230.SZ,20241029,45.84,47.42,45.15,45.91,45.65,0.26,0.5696,810103.26,3752782.509
002230.SZ,20241030,45.6,46.33,45.0,45.55,45.91,-0.36,-0.7841,473838.12,2160674.5
002230.SZ,20241031,45.55,46.55,44.7,45.95,45.55,0.4,0.8782,640004.31,2930889.74
